2024/05/20 10:47:32 Fetching files in bucket s3graphtest10oz--use1-az6--x-s3
2024/05/20 10:47:32 Fetched 173 objects
2024/05/20 10:47:32 QueryId=0 Results=112 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=75 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=13 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=28 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=8 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=52 time=5ms
2024/05/20 10:47:32 QueryId=0 Results=97 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=22 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=7 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=54 time=5ms
2024/05/20 10:47:32 QueryId=0 Results=10 time=5ms
2024/05/20 10:47:32 QueryId=0 Results=13 time=8ms
2024/05/20 10:47:32 QueryId=0 Results=5 time=3ms
2024/05/20 10:47:32 QueryId=0 Results=56 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=166 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=25 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=23 time=5ms
2024/05/20 10:47:32 QueryId=0 Results=34 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=6 time=4ms
2024/05/20 10:47:32 QueryId=0 Results=0 time=5ms
{"S3Fetches":20,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:32 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:32 QueryId=1 Results=1 time=4ms
{"S3Fetches":40,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:33 QueryId=2 Results=1839 time=52ms
2024/05/20 10:47:33 QueryId=2 Results=6624 time=56ms
2024/05/20 10:47:33 QueryId=2 Results=4742 time=57ms
2024/05/20 10:47:33 QueryId=2 Results=3523 time=68ms
2024/05/20 10:47:33 QueryId=2 Results=6576 time=69ms
2024/05/20 10:47:33 QueryId=2 Results=3148 time=13ms
2024/05/20 10:47:33 QueryId=2 Results=10245 time=256ms
2024/05/20 10:47:33 QueryId=2 Results=6421 time=318ms
2024/05/20 10:47:33 QueryId=2 Results=5466 time=21ms
2024/05/20 10:47:33 QueryId=2 Results=3596 time=24ms
2024/05/20 10:47:33 QueryId=2 Results=2931 time=50ms
2024/05/20 10:47:33 QueryId=2 Results=4767 time=25ms
2024/05/20 10:47:33 QueryId=2 Results=4120 time=86ms
2024/05/20 10:47:33 QueryId=2 Results=10007 time=431ms
2024/05/20 10:47:33 QueryId=2 Results=9989 time=274ms
2024/05/20 10:47:33 QueryId=2 Results=12012 time=667ms
2024/05/20 10:47:33 QueryId=2 Results=9253 time=784ms
2024/05/20 10:47:33 QueryId=2 Results=9559 time=293ms
2024/05/20 10:47:33 QueryId=2 Results=9868 time=375ms
2024/05/20 10:47:34 QueryId=2 Results=15242 time=1039ms
{"S3Fetches":1174,"cacheHits":22,"inFlightHits":80,"prefetcherHits":18}
2024/05/20 10:47:34 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:34 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=9ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=9ms
2024/05/20 10:47:34 QueryId=3 Results=0 time=8ms
2024/05/20 10:47:34 QueryId=3 Results=2 time=13ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=16ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=12ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=4ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=11ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=11ms
2024/05/20 10:47:34 QueryId=3 Results=2 time=17ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=11ms
2024/05/20 10:47:34 QueryId=3 Results=0 time=6ms
2024/05/20 10:47:34 QueryId=3 Results=2 time=16ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=28ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=64ms
2024/05/20 10:47:34 QueryId=3 Results=2 time=56ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=71ms
2024/05/20 10:47:34 QueryId=3 Results=1 time=82ms
{"S3Fetches":1213,"cacheHits":23,"inFlightHits":104,"prefetcherHits":18}
2024/05/20 10:47:34 QueryId=4 Results=13 time=383ms
2024/05/20 10:47:34 QueryId=4 Results=24 time=468ms
2024/05/20 10:47:34 QueryId=4 Results=29 time=485ms
2024/05/20 10:47:34 QueryId=4 Results=25 time=523ms
2024/05/20 10:47:34 QueryId=4 Results=30 time=611ms
2024/05/20 10:47:35 QueryId=4 Results=33 time=427ms
2024/05/20 10:47:35 QueryId=4 Results=27 time=319ms
2024/05/20 10:47:35 QueryId=4 Results=31 time=469ms
2024/05/20 10:47:35 QueryId=4 Results=14 time=65ms
2024/05/20 10:47:35 QueryId=4 Results=34 time=313ms
