2024/05/20 10:47:21 Fetching files in bucket s3graphtest10oz--use1-az6--x-s3
2024/05/20 10:47:21 Fetched 173 objects
2024/05/20 10:47:22 QueryId=0 Results=112 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=13 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=28 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=52 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=10 time=3ms
2024/05/20 10:47:22 QueryId=0 Results=75 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=54 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=8 time=5ms
2024/05/20 10:47:22 QueryId=0 Results=22 time=3ms
2024/05/20 10:47:22 QueryId=0 Results=7 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=97 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=13 time=5ms
2024/05/20 10:47:22 QueryId=0 Results=23 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=56 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=25 time=5ms
2024/05/20 10:47:22 QueryId=0 Results=5 time=5ms
2024/05/20 10:47:22 QueryId=0 Results=166 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=0 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=34 time=4ms
2024/05/20 10:47:22 QueryId=0 Results=6 time=5ms
{"S3Fetches":20,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:22 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:22 QueryId=1 Results=1 time=5ms
{"S3Fetches":40,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:22 QueryId=2 Results=1839 time=43ms
2024/05/20 10:47:22 QueryId=2 Results=6624 time=45ms
2024/05/20 10:47:22 QueryId=2 Results=4742 time=32ms
2024/05/20 10:47:22 QueryId=2 Results=3523 time=49ms
2024/05/20 10:47:22 QueryId=2 Results=6576 time=41ms
2024/05/20 10:47:22 QueryId=2 Results=6421 time=302ms
2024/05/20 10:47:22 QueryId=2 Results=3148 time=17ms
2024/05/20 10:47:22 QueryId=2 Results=10245 time=217ms
2024/05/20 10:47:22 QueryId=2 Results=12012 time=528ms
2024/05/20 10:47:22 QueryId=2 Results=5466 time=18ms
2024/05/20 10:47:22 QueryId=2 Results=3596 time=14ms
2024/05/20 10:47:22 QueryId=2 Results=9253 time=697ms
2024/05/20 10:47:22 QueryId=2 Results=2931 time=20ms
2024/05/20 10:47:22 QueryId=2 Results=4767 time=11ms
2024/05/20 10:47:22 QueryId=2 Results=10007 time=349ms
2024/05/20 10:47:23 QueryId=2 Results=4120 time=89ms
2024/05/20 10:47:23 QueryId=2 Results=9989 time=232ms
2024/05/20 10:47:23 QueryId=2 Results=9559 time=275ms
2024/05/20 10:47:23 QueryId=2 Results=9868 time=373ms
2024/05/20 10:47:23 QueryId=2 Results=15242 time=983ms
{"S3Fetches":1190,"cacheHits":24,"inFlightHits":62,"prefetcherHits":18}
2024/05/20 10:47:23 QueryId=3 Results=0 time=3ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=8ms
2024/05/20 10:47:23 QueryId=3 Results=2 time=8ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=9ms
2024/05/20 10:47:23 QueryId=3 Results=0 time=5ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=10ms
2024/05/20 10:47:23 QueryId=3 Results=0 time=17ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=18ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=15ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=8ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=20ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=30ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=25ms
2024/05/20 10:47:23 QueryId=3 Results=2 time=46ms
2024/05/20 10:47:23 QueryId=3 Results=2 time=15ms
2024/05/20 10:47:23 QueryId=3 Results=0 time=5ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=30ms
2024/05/20 10:47:23 QueryId=3 Results=2 time=88ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=112ms
2024/05/20 10:47:23 QueryId=3 Results=1 time=127ms
{"S3Fetches":1226,"cacheHits":25,"inFlightHits":89,"prefetcherHits":18}
2024/05/20 10:47:23 QueryId=4 Results=13 time=243ms
2024/05/20 10:47:24 QueryId=4 Results=24 time=323ms
2024/05/20 10:47:24 QueryId=4 Results=29 time=167ms
2024/05/20 10:47:24 QueryId=4 Results=30 time=427ms
2024/05/20 10:47:24 QueryId=4 Results=25 time=176ms
2024/05/20 10:47:24 QueryId=4 Results=33 time=245ms
2024/05/20 10:47:24 QueryId=4 Results=29 time=754ms
2024/05/20 10:47:24 QueryId=4 Results=27 time=184ms
2024/05/20 10:47:24 QueryId=4 Results=31 time=372ms
2024/05/20 10:47:25 QueryId=4 Results=34 time=217ms
2024/05/20 10:47:25 QueryId=4 Results=14 time=49ms
2024/05/20 10:47:25 QueryId=4 Results=39 time=941ms
2024/05/20 10:47:25 QueryId=4 Results=36 time=733ms
2024/05/20 10:47:25 QueryId=4 Results=26 time=138ms
2024/05/20 10:47:25 QueryId=4 Results=31 time=315ms
2024/05/20 10:47:25 QueryId=4 Results=31 time=167ms
2024/05/20 10:47:25 QueryId=4 Results=21 time=143ms
