2024/05/20 10:47:42 Fetching files in bucket s3graphtest10oz--use1-az6--x-s3
2024/05/20 10:47:43 Fetched 173 objects
2024/05/20 10:47:43 QueryId=0 Results=28 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=112 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=75 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=13 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=22 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=10 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=52 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=7 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=8 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=54 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=97 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=5 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=56 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=166 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=25 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=13 time=5ms
2024/05/20 10:47:43 QueryId=0 Results=0 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=23 time=5ms
2024/05/20 10:47:43 QueryId=0 Results=34 time=4ms
2024/05/20 10:47:43 QueryId=0 Results=6 time=6ms
{"S3Fetches":20,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:43 QueryId=1 Results=1 time=3ms
{"S3Fetches":40,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:43 QueryId=2 Results=4742 time=85ms
2024/05/20 10:47:43 QueryId=2 Results=1839 time=101ms
2024/05/20 10:47:43 QueryId=2 Results=3148 time=103ms
2024/05/20 10:47:43 QueryId=2 Results=6624 time=116ms
2024/05/20 10:47:43 QueryId=2 Results=3523 time=134ms
2024/05/20 10:47:43 QueryId=2 Results=5466 time=48ms
2024/05/20 10:47:43 QueryId=2 Results=6576 time=198ms
2024/05/20 10:47:43 QueryId=2 Results=3596 time=85ms
2024/05/20 10:47:43 QueryId=2 Results=2931 time=53ms
2024/05/20 10:47:43 QueryId=2 Results=4767 time=96ms
2024/05/20 10:47:43 QueryId=2 Results=4120 time=202ms
2024/05/20 10:47:43 QueryId=2 Results=6421 time=480ms
2024/05/20 10:47:44 QueryId=2 Results=10245 time=520ms
2024/05/20 10:47:44 QueryId=2 Results=9989 time=390ms
2024/05/20 10:47:44 QueryId=2 Results=9559 time=392ms
2024/05/20 10:47:44 QueryId=2 Results=10007 time=550ms
2024/05/20 10:47:44 QueryId=2 Results=9868 time=443ms
2024/05/20 10:47:44 QueryId=2 Results=12012 time=739ms
2024/05/20 10:47:44 QueryId=2 Results=9253 time=865ms
2024/05/20 10:47:44 QueryId=2 Results=15242 time=1147ms
{"S3Fetches":1161,"cacheHits":23,"inFlightHits":87,"prefetcherHits":23}
2024/05/20 10:47:44 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:44 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:44 QueryId=3 Results=0 time=5ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=16ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=17ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=17ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=14ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=17ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=23ms
2024/05/20 10:47:44 QueryId=3 Results=2 time=23ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=25ms
2024/05/20 10:47:44 QueryId=3 Results=0 time=7ms
2024/05/20 10:47:44 QueryId=3 Results=2 time=26ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=25ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=15ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=20ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=52ms
2024/05/20 10:47:44 QueryId=3 Results=2 time=53ms
2024/05/20 10:47:44 QueryId=3 Results=2 time=48ms
2024/05/20 10:47:44 QueryId=3 Results=1 time=76ms
{"S3Fetches":1197,"cacheHits":24,"inFlightHits":114,"prefetcherHits":23}
2024/05/20 10:47:45 QueryId=4 Results=13 time=732ms
2024/05/20 10:47:45 QueryId=4 Results=29 time=837ms
2024/05/20 10:47:45 QueryId=4 Results=27 time=895ms
2024/05/20 10:47:45 QueryId=4 Results=24 time=980ms
2024/05/20 10:47:45 QueryId=4 Results=30 time=1046ms
2024/05/20 10:47:45 QueryId=4 Results=25 time=1071ms
2024/05/20 10:47:46 QueryId=4 Results=33 time=1167ms
2024/05/20 10:47:46 QueryId=4 Results=14 time=203ms
2024/05/20 10:47:46 QueryId=4 Results=34 time=476ms
2024/05/20 10:47:46 QueryId=4 Results=26 time=421ms
2024/05/20 10:47:46 QueryId=4 Results=31 time=862ms
2024/05/20 10:47:46 QueryId=4 Results=31 time=435ms
2024/05/20 10:47:46 QueryId=4 Results=21 time=246ms
2024/05/20 10:47:46 QueryId=4 Results=31 time=700ms
2024/05/20 10:47:46 QueryId=4 Results=29 time=322ms
2024/05/20 10:47:46 QueryId=4 Results=29 time=1853ms
2024/05/20 10:47:46 QueryId=4 Results=36 time=1258ms
2024/05/20 10:47:47 QueryId=4 Results=39 time=2179ms
2024/05/20 10:47:47 QueryId=4 Results=41 time=2747ms
2024/05/20 10:47:47 QueryId=4 Results=42 time=1931ms
{"S3Fetches":6718,"cacheHits":4583,"inFlightHits":220,"prefetcherHits":68}
2024/05/20 10:47:47 QueryId=5 Results=1 time=8ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=9ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=9ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=13ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=13ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=14ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=17ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=19ms
2024/05/20 10:47:47 QueryId=5 Results=7 time=20ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=21ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=11ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=9ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=15ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=9ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=15ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=20ms
2024/05/20 10:47:47 QueryId=5 Results=1 time=14ms
