2024/05/20 10:47:38 Fetching files in bucket s3graphtest10oz--use1-az6--x-s3
2024/05/20 10:47:38 Fetched 173 objects
2024/05/20 10:47:38 QueryId=0 Results=8 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=75 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=7 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=13 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=54 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=28 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=112 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=10 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=52 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=22 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=13 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=5 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=166 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=56 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=97 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=23 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=25 time=4ms
2024/05/20 10:47:38 QueryId=0 Results=34 time=8ms
2024/05/20 10:47:38 QueryId=0 Results=6 time=8ms
2024/05/20 10:47:38 QueryId=0 Results=0 time=8ms
{"S3Fetches":20,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:38 QueryId=1 Results=1 time=4ms
{"S3Fetches":40,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:38 QueryId=2 Results=1839 time=90ms
2024/05/20 10:47:39 QueryId=2 Results=3523 time=124ms
2024/05/20 10:47:39 QueryId=2 Results=6624 time=126ms
2024/05/20 10:47:39 QueryId=2 Results=4742 time=135ms
2024/05/20 10:47:39 QueryId=2 Results=3148 time=155ms
2024/05/20 10:47:39 QueryId=2 Results=6576 time=155ms
2024/05/20 10:47:39 QueryId=2 Results=6421 time=198ms
2024/05/20 10:47:39 QueryId=2 Results=10245 time=207ms
2024/05/20 10:47:39 QueryId=2 Results=3596 time=88ms
2024/05/20 10:47:39 QueryId=2 Results=2931 time=144ms
2024/05/20 10:47:39 QueryId=2 Results=12012 time=334ms
2024/05/20 10:47:39 QueryId=2 Results=5466 time=227ms
2024/05/20 10:47:39 QueryId=2 Results=4120 time=152ms
2024/05/20 10:47:39 QueryId=2 Results=4767 time=162ms
2024/05/20 10:47:39 QueryId=2 Results=9989 time=232ms
2024/05/20 10:47:39 QueryId=2 Results=10007 time=291ms
2024/05/20 10:47:39 QueryId=2 Results=9253 time=430ms
2024/05/20 10:47:39 QueryId=2 Results=9559 time=262ms
2024/05/20 10:47:39 QueryId=2 Results=9868 time=180ms
2024/05/20 10:47:39 QueryId=2 Results=15242 time=413ms
{"S3Fetches":1207,"cacheHits":19,"inFlightHits":68,"prefetcherHits":0}
2024/05/20 10:47:39 QueryId=3 Results=0 time=3ms
2024/05/20 10:47:39 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:39 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=11ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=16ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=21ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=17ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=17ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=22ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=26ms
2024/05/20 10:47:39 QueryId=3 Results=2 time=32ms
2024/05/20 10:47:39 QueryId=3 Results=2 time=34ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=37ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=23ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=33ms
2024/05/20 10:47:39 QueryId=3 Results=2 time=28ms
2024/05/20 10:47:39 QueryId=3 Results=0 time=22ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=24ms
2024/05/20 10:47:39 QueryId=3 Results=2 time=31ms
2024/05/20 10:47:39 QueryId=3 Results=1 time=46ms
{"S3Fetches":1245,"cacheHits":19,"inFlightHits":92,"prefetcherHits":2}
2024/05/20 10:47:39 QueryId=4 Results=13 time=407ms
2024/05/20 10:47:40 QueryId=4 Results=24 time=672ms
2024/05/20 10:47:40 QueryId=4 Results=27 time=853ms
2024/05/20 10:47:40 QueryId=4 Results=29 time=1044ms
2024/05/20 10:47:40 QueryId=4 Results=30 time=1191ms
2024/05/20 10:47:40 QueryId=4 Results=25 time=1222ms
2024/05/20 10:47:40 QueryId=4 Results=14 time=189ms
2024/05/20 10:47:40 QueryId=4 Results=29 time=1287ms
2024/05/20 10:47:40 QueryId=4 Results=33 time=1300ms
2024/05/20 10:47:40 QueryId=4 Results=34 time=623ms
2024/05/20 10:47:40 QueryId=4 Results=31 time=1127ms
2024/05/20 10:47:41 QueryId=4 Results=26 time=540ms
2024/05/20 10:47:41 QueryId=4 Results=21 time=514ms
2024/05/20 10:47:41 QueryId=4 Results=31 time=661ms
2024/05/20 10:47:41 QueryId=4 Results=36 time=1422ms
2024/05/20 10:47:41 QueryId=4 Results=31 time=929ms
2024/05/20 10:47:41 QueryId=4 Results=29 time=651ms
2024/05/20 10:47:41 QueryId=4 Results=39 time=2186ms
2024/05/20 10:47:41 QueryId=4 Results=41 time=2263ms
2024/05/20 10:47:41 QueryId=4 Results=42 time=1125ms
{"S3Fetches":7143,"cacheHits":4248,"inFlightHits":179,"prefetcherHits":20}
